sender,receiver,message,timestamp,is_read
nicole,michael,msg,2025-03-23 23:24:22.087963,True
nicole,michael,msg2,2025-03-23 23:24:37.538885,True
nicole,michael,msg3,2025-03-23 23:25:13.755404,True
nicole,michael,wefwe,2025-03-23 23:30:05.206410,True
nicole,michael,wefwe,2025-03-23 23:30:05.206410,True
nicole,michael,instant,2025-03-23 23:44:25.276565,True
nicole,michael,instan?,2025-03-23 23:44:35.559498,True
nicole,michael,instan,2025-03-23 23:45:21.478804,True
nicole,michael,wefwe,2025-03-23 23:30:05.206410,True
nicole,michael,test,2025-03-23 23:47:34.258999,True
nicole,michael,wefwe,2025-03-23 23:30:05.206410,True
nicole,michael,msg,2025-03-23 23:53:52.877640,True
nicole,michael,msg2,2025-03-23 23:54:06.195908,True
michael,nicole,msg1,2025-03-23 23:24:58.288336,True
michael,nicole,msg4,2025-03-23 23:25:26.972239,True
nicole,michael,wefwe,2025-03-23 23:30:05.206410,False
